,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
14415,ESS8e02_1,8,2.1,FI,1.0,1975,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,3,7,4,44.0,5.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,2.3333333333333335,2.6666666666666665,4.0,-1.0,1.0,0,North Europe,1,1,0
14416,ESS8e02_1,8,2.1,FI,1.0,2001,1.0,Yes,"ISCED 1, completed primary education","ISCED 5A medium, bachelor/equivalent from lower tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,9,9,8,18.0,1.0,6.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,3.3333333333333335,-4.5,8.0,6.0,1,North Europe,-1,0,1
14420,ESS8e02_1,8,2.1,FI,0.0,1978,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 5B short, advanced vocational qualifications",Allow some,Allow some,3,6,5,41.0,8.0,1.0,5.0,1.0,1.0,-1.0,1.0,0.0,4.5,4.333333333333333,4.5,2.0,3.0,1,North Europe,1,1,0
14421,ESS8e02_1,8,2.1,FI,0.0,1962,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow a few,Allow a few,7,8,5,57.0,8.0,5.0,1.0,-1.0,-1.0,1.0,2.0,0.0,4.5,4.333333333333333,4.5,1.0,3.0,1,North Europe,1,1,0
14422,ESS8e02_1,8,2.1,FI,1.0,1981,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,3,3,4,38.0,5.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3333333333333335,2.6666666666666665,4.0,-5.0,1.0,0,North Europe,1,1,0
14423,ESS8e02_1,8,2.1,FI,0.0,1981,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from lower tier tertiary","ISCED 5A medium, bachelor/equivalent from lower tier tertiary",Allow a few,Allow a few,5,9,5,38.0,8.0,7.0,6.0,-1.0,-1.0,0.0,2.0,0.0,6.833333333333333,1.0,1.0,0.0,6.0,0,North Europe,1,1,0
14424,ESS8e02_1,8,2.1,FI,1.0,1973,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,5,9,5,46.0,5.0,1.0,1.0,1.0,-1.0,0.0,2.0,0.0,2.3333333333333335,2.6666666666666665,4.0,2.0,1.0,1,North Europe,1,1,0
14425,ESS8e02_1,8,2.1,FI,1.0,1998,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow none,6,5,3,21.0,5.0,7.5,7.5,1.0,-2.0,1.0,0.0,-1.0,6.583333333333333,1.8333333333333333,-2.75,-1.0,8.0,0,North Europe,-1,0,1
14426,ESS8e02_1,8,2.1,FI,1.0,1991,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 4A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,5,8,9,28.0,5.0,4.75,5.0,1.0,-1.0,0.0,2.0,2.0,4.916666666666667,0.16666666666666666,0.125,4.0,5.0,1,North Europe,1,1,0
14427,ESS8e02_1,8,2.1,FI,1.0,1954,0.0,Yes,"ISCED 5A long, master/equivalent from lower tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Don't know,8,8,8,65.0,7.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,4.0,6.0,8.0,1.0,1,North Europe,1,1,0
14428,ESS8e02_1,8,2.1,FI,0.0,1981,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5B short, advanced vocational qualifications","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow many to come and live here,6,6,5,38.0,8.0,5.0,6.5,2.0,2.0,1.0,1.0,0.0,6.333333333333333,1.6666666666666667,1.75,6.0,6.0,1,North Europe,1,1,0
14429,ESS8e02_1,8,2.1,FI,0.0,1973,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 4A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow some,8,Cultural life enriched,Better place to live,46.0,6.0,7.5,4.75,2.0,1.0,2.0,1.0,1.0,6.25,1.8333333333333333,0.375,7.0,6.0,1,North Europe,1,1,0
14430,ESS8e02_1,8,2.1,FI,0.0,1953,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow many to come and live here,9,9,9,66.0,8.0,7.5,6.5,2.0,2.0,2.0,2.0,2.0,7.166666666666667,0.6666666666666666,0.5,10.0,7.0,1,North Europe,1,1,0
14431,ESS8e02_1,8,2.1,FI,1.0,1951,0.0,Yes,"ISCED 5B short, advanced vocational qualifications","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5B short, advanced vocational qualifications",Allow a few,Allow a few,3,6,3,68.0,5.0,7.5,5.0,-1.0,-1.0,-1.0,1.0,-1.0,5.833333333333333,1.6666666666666667,-1.25,-3.0,6.0,0,North Europe,-1,0,1
14432,ESS8e02_1,8,2.1,FI,1.0,1962,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5B short, advanced vocational qualifications",Allow some,Allow a few,8,9,6,57.0,6.0,7.5,5.0,1.0,-1.0,2.0,2.0,1.0,6.333333333333333,1.6666666666666667,0.25,5.0,6.0,1,North Europe,1,1,0
14433,ESS8e02_1,8,2.1,FI,0.0,1938,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow some,Allow some,8,8,6,81.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.8333333333333335,2.6666666666666665,-0.5,7.0,3.0,1,North Europe,-1,0,1
14435,ESS8e02_1,8,2.1,FI,0.0,1982,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,7,9,6,37.0,5.0,5.0,7.5,1.0,1.0,1.0,2.0,1.0,5.75,1.8333333333333333,-1.5,6.0,6.0,1,North Europe,-1,0,1
14436,ESS8e02_1,8,2.1,FI,1.0,1965,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5B short, advanced vocational qualifications","ISCED 1, completed primary education",Allow some,Allow a few,8,8,6,54.0,8.0,5.0,1.0,1.0,-1.0,2.0,2.0,1.0,4.5,4.333333333333333,4.5,5.0,3.0,1,North Europe,1,1,0
14437,ESS8e02_1,8,2.1,FI,0.0,1956,1.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,7,8,8,63.0,5.0,7.5,7.5,1.0,1.0,1.0,2.0,2.0,6.583333333333333,1.8333333333333333,-2.75,7.0,8.0,1,North Europe,-1,0,1
14438,ESS8e02_1,8,2.1,FI,1.0,1938,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,9,8,7,81.0,6.0,2.5,5.0,1.0,-1.0,2.0,2.0,1.0,4.5,2.3333333333333335,2.25,5.0,4.0,1,North Europe,1,1,0
14439,ESS8e02_1,8,2.1,FI,0.0,1969,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","ISCED 5B short, advanced vocational qualifications","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,7,9,6,50.0,5.0,5.0,7.5,1.0,1.0,1.0,2.0,1.0,5.833333333333333,1.6666666666666667,-1.25,6.0,6.0,1,North Europe,-1,0,1
14440,ESS8e02_1,8,2.1,FI,1.0,1949,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,8,7,5,70.0,8.0,1.0,1.0,1.0,-1.0,2.0,1.0,0.0,3.1666666666666665,4.333333333333333,6.5,3.0,1.0,1,North Europe,1,1,0
14441,ESS8e02_1,8,2.1,FI,0.0,1966,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow a few,8,9,7,53.0,6.0,5.0,2.5,1.0,-1.0,2.0,2.0,1.0,4.666666666666667,2.6666666666666665,2.75,5.0,4.0,1,North Europe,1,1,0
14442,ESS8e02_1,8,2.1,FI,0.0,1965,1.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,4,7,5,54.0,5.0,5.0,5.0,1.0,-1.0,-1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0,North Europe,0,0,0
14443,ESS8e02_1,8,2.1,FI,1.0,1980,1.0,Yes,"ISCED 5B short, advanced vocational qualifications","ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow some,8,Cultural life enriched,8,39.0,5.0,7.5,4.75,1.0,1.0,2.0,1.0,2.0,5.75,1.8333333333333333,-1.125,7.0,6.0,1,North Europe,-1,0,1
14444,ESS8e02_1,8,2.1,FI,1.0,1939,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 4A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow some,Allow some,9,9,8,80.0,8.0,4.75,1.0,1.0,1.0,2.0,2.0,2.0,4.416666666666667,4.333333333333333,4.625,8.0,3.0,1,North Europe,1,1,0
14445,ESS8e02_1,8,2.1,FI,1.0,1980,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,7,8,5,39.0,6.0,6.5,7.5,1.0,1.0,1.0,2.0,0.0,6.666666666666667,1.0,-1.0,5.0,7.0,1,North Europe,-1,0,1
14446,ESS8e02_1,8,2.1,FI,0.0,1947,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow some,5,8,6,72.0,2.0,2.5,2.5,1.0,1.0,0.0,2.0,1.0,2.5,0.0,0.0,5.0,2.0,1,North Europe,0,0,0
14447,ESS8e02_1,8,2.1,FI,0.0,1943,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,5,8,5,76.0,8.0,1.0,1.0,-1.0,-1.0,0.0,2.0,0.0,3.1666666666666665,4.333333333333333,6.5,0.0,1.0,0,North Europe,1,1,0
14448,ESS8e02_1,8,2.1,FI,0.0,1960,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,8,9,8,59.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.3333333333333335,2.6666666666666665,4.0,8.0,1.0,1,North Europe,1,1,0
14449,ESS8e02_1,8,2.1,FI,0.0,1954,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow some,Allow a few,5,Cultural life enriched,7,65.0,8.0,2.5,1.0,1.0,-1.0,0.0,1.0,1.0,3.6666666666666665,4.333333333333333,5.75,2.0,2.0,1,North Europe,1,1,0
14450,ESS8e02_1,8,2.1,FI,0.0,1960,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,5,7,7,59.0,6.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,2.8333333333333335,3.6666666666666665,5.5,2.0,1.0,1,North Europe,1,1,0
14452,ESS8e02_1,8,2.1,FI,0.0,1975,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,7,8,9,44.0,8.0,2.5,5.0,1.0,-1.0,1.0,2.0,2.0,5.0,3.3333333333333335,3.75,5.0,4.0,1,North Europe,1,1,0
14453,ESS8e02_1,8,2.1,FI,0.0,1974,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 1, completed primary education","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,7,Cultural life enriched,9,45.0,6.0,1.0,5.0,-1.0,-1.0,1.0,1.0,2.0,4.0,3.3333333333333335,3.0,2.0,3.0,1,North Europe,1,1,0
14454,ESS8e02_1,8,2.1,FI,1.0,1968,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow a few,7,2,2,51.0,5.0,2.5,5.0,2.0,-1.0,1.0,-2.0,-2.0,4.166666666666667,1.6666666666666667,1.25,-2.0,4.0,0,North Europe,1,1,0
14455,ESS8e02_1,8,2.1,FI,0.0,1957,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 4A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow many to come and live here,8,Cultural life enriched,8,62.0,6.0,7.5,4.75,2.0,2.0,2.0,1.0,2.0,6.083333333333333,1.8333333333333333,-0.125,9.0,6.0,1,North Europe,-1,0,1
14456,ESS8e02_1,8,2.1,FI,0.0,1944,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,6,7,5,75.0,5.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,2.3333333333333335,2.6666666666666665,4.0,2.0,1.0,1,North Europe,1,1,0
14457,ESS8e02_1,8,2.1,FI,1.0,1963,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from lower tier tertiary",Allow some,Allow some,7,9,8,56.0,8.0,6.5,6.0,1.0,1.0,1.0,2.0,2.0,6.666666666666667,1.0,1.25,7.0,6.0,1,North Europe,1,1,0
14458,ESS8e02_1,8,2.1,FI,1.0,1956,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,4,7,3,63.0,8.0,7.5,7.5,1.0,1.0,-1.0,1.0,-1.0,7.5,0.0,0.0,1.0,8.0,1,North Europe,0,0,0
14459,ESS8e02_1,8,2.1,FI,1.0,1997,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A medium, bachelor/equivalent from lower tier tertiary",Allow many to come and live here,Allow many to come and live here,7,9,9,22.0,2.0,5.0,6.0,2.0,2.0,1.0,2.0,2.0,4.5,2.3333333333333335,-3.0,9.0,6.0,1,North Europe,-1,0,1
14460,ESS8e02_1,8,2.1,FI,0.0,1976,0.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,9,9,9,43.0,8.0,7.5,7.5,1.0,1.0,2.0,2.0,2.0,7.5,0.0,0.0,8.0,8.0,1,North Europe,0,0,0
14461,ESS8e02_1,8,2.1,FI,0.0,1999,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow a few,3,9,4,20.0,2.0,5.0,5.0,1.0,-1.0,-1.0,2.0,-1.0,4.166666666666667,1.6666666666666667,-2.5,0.0,5.0,0,North Europe,-1,0,1
14462,ESS8e02_1,8,2.1,FI,1.0,1962,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow a few,1,5,Worse place to live,57.0,5.0,2.5,2.5,-1.0,-1.0,-2.0,0.0,-1.0,3.3333333333333335,1.6666666666666667,2.5,-5.0,2.0,0,North Europe,1,1,0
14464,ESS8e02_1,8,2.1,FI,0.0,1977,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow a few,Allow a few,6,8,5,42.0,8.0,5.0,5.0,-1.0,-1.0,1.0,2.0,0.0,5.833333333333333,1.6666666666666667,2.5,1.0,5.0,1,North Europe,1,1,0
14465,ESS8e02_1,8,2.1,FI,1.0,1993,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5B short, advanced vocational qualifications",Allow some,Allow a few,5,6,6,26.0,6.0,5.0,5.0,1.0,-1.0,0.0,1.0,1.0,5.5,1.0,1.5,2.0,5.0,1,North Europe,1,1,0
14466,ESS8e02_1,8,2.1,FI,1.0,1948,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,6,8,5,71.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.1666666666666665,4.333333333333333,6.5,7.0,1.0,1,North Europe,1,1,0
14467,ESS8e02_1,8,2.1,FI,0.0,1986,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5B short, advanced vocational qualifications","ISCED 5A medium, bachelor/equivalent from lower tier tertiary",Allow a few,Allow some,8,Cultural life enriched,8,33.0,8.0,5.0,6.0,-1.0,1.0,2.0,1.0,2.0,6.166666666666667,1.6666666666666667,2.0,5.0,6.0,1,North Europe,1,1,0
14468,ESS8e02_1,8,2.1,FI,1.0,1997,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow some,7,9,5,22.0,5.0,5.0,7.5,1.0,1.0,1.0,2.0,0.0,5.75,1.8333333333333333,-1.5,5.0,6.0,1,North Europe,-1,0,1
14469,ESS8e02_1,8,2.1,FI,0.0,1987,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow some,7,7,7,32.0,6.0,5.0,2.5,2.0,1.0,1.0,1.0,1.0,4.666666666666667,2.6666666666666665,2.75,6.0,4.0,1,North Europe,1,1,0
14470,ESS8e02_1,8,2.1,FI,0.0,1965,1.0,Yes,"Vocational ISCED 4A, access upper tier ISCED 5A/all 5","Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow some,Allow some,8,9,8,54.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.5833333333333335,2.6666666666666665,1.75,8.0,3.0,1,North Europe,1,1,0
14471,ESS8e02_1,8,2.1,FI,1.0,1979,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary",Allow some,Allow some,8,8,8,40.0,6.0,6.0,6.5,1.0,1.0,2.0,2.0,2.0,6.166666666666667,0.3333333333333333,-0.25,8.0,6.0,1,North Europe,-1,0,1
14472,ESS8e02_1,8,2.1,FI,1.0,1954,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,8,8,7,65.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.1666666666666665,4.333333333333333,6.5,7.0,1.0,1,North Europe,1,1,0
14473,ESS8e02_1,8,2.1,FI,0.0,1982,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Don't know,Don't know,7,7,5,37.0,6.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,5.333333333333333,0.6666666666666666,1.0,2.0,5.0,1,North Europe,1,1,0
14474,ESS8e02_1,8,2.1,FI,1.0,1984,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow some,5,6,6,35.0,8.0,2.5,2.5,1.0,1.0,0.0,1.0,1.0,4.166666666666667,3.3333333333333335,5.0,4.0,2.0,1,North Europe,1,1,0
14476,ESS8e02_1,8,2.1,FI,1.0,1971,0.0,Yes,"Vocational ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5B short, advanced vocational qualifications","Vocational ISCED 3A, access upper tier ISCED 5A/all 5",Allow some,Allow none,7,8,5,48.0,5.0,5.0,5.0,1.0,-2.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,5.0,1,North Europe,0,0,0
14477,ESS8e02_1,8,2.1,FI,1.0,1981,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from lower tier tertiary","ISCED 5B short, advanced vocational qualifications","ISCED 5B short, advanced vocational qualifications",Allow some,Allow some,5,6,6,38.0,6.0,5.0,5.0,1.0,1.0,0.0,1.0,1.0,5.333333333333333,0.6666666666666666,1.0,4.0,5.0,1,North Europe,1,1,0
