,name,essround,edition,cntry,gndr,yrbrn,rlgblg,ctzcntr,edulvlb,edulvlfb,edulvlmb,imsmetn,impcntr,imbgeco,imueclt,imwbcnt,age,edu_lv,edu_lvf,edu_lvm,imsmetn_lv,impcntr_lv,imbgeco_lv,imueclt_lv,imwbcnt_lv,edu_overall,edu_difference,edu_mobility,attitude_lv,edu_lvp,attitude_b,region,edu_mobility_onehot,edu_up,edu_down
12457,ESS8e02_1,8,2.1,ES,0.0,1998,1.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,5,9,5,21.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.8333333333333333,1.6666666666666667,2.5,6.0,1.0,1,South Europe,1,1,0
12459,ESS8e02_1,8,2.1,ES,1.0,1990,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,5,8,7,29.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,1.0,2.5,2.0,0.0,7.0,2.0,1,South Europe,0,0,0
12463,ESS8e02_1,8,2.1,ES,1.0,1967,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education",Allow some,Allow some,6,8,5,52.0,2.0,4.75,1.0,1.0,1.0,1.0,2.0,0.0,2.75,2.5,-0.375,5.0,3.0,1,South Europe,-1,0,1
12467,ESS8e02_1,8,2.1,ES,0.0,1976,1.0,Yes,ISCED 4 programmes without access ISCED 5,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary",Allow some,Allow some,7,7,5,43.0,4.0,6.5,6.5,1.0,1.0,1.0,1.0,0.0,5.666666666666667,1.6666666666666667,-2.5,4.0,6.0,1,South Europe,-1,0,1
12468,ESS8e02_1,8,2.1,ES,0.0,1976,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education",Allow none,Allow none,1,2,2,43.0,2.0,6.5,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,3.3333333333333335,3.6666666666666665,-1.25,-10.0,4.0,0,South Europe,-1,0,1
12473,ESS8e02_1,8,2.1,ES,0.0,1942,0.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,6,8,6,77.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,1,South Europe,0,0,0
12474,ESS8e02_1,8,2.1,ES,0.0,1971,1.0,Yes,"Vocational ISCED 2A/2B, access ISCED 3 vocational","ISCED 1, completed primary education","General ISCED 2A, access ISCED 3A general/all 3",Allow some,Allow some,7,5,6,48.0,2.0,1.0,2.5,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.75,4.0,2.0,1,South Europe,1,1,0
12476,ESS8e02_1,8,2.1,ES,0.0,1966,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education",ISCED 4 programmes without access ISCED 5,Allow many to come and live here,Allow many to come and live here,7,9,5,53.0,6.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,3.8333333333333335,3.6666666666666665,4.0,7.0,2.0,1,South Europe,1,1,0
12477,ESS8e02_1,8,2.1,ES,0.0,1982,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,9,8,37.0,6.0,2.5,1.0,2.0,2.0,2.0,2.0,2.0,3.3333333333333335,3.6666666666666665,4.75,10.0,2.0,1,South Europe,1,1,0
12479,ESS8e02_1,8,2.1,ES,1.0,1993,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,4,8,7,26.0,5.0,1.0,1.0,2.0,2.0,-1.0,2.0,1.0,2.25,2.5,3.75,6.0,1.0,1,South Europe,1,1,0
12480,ESS8e02_1,8,2.1,ES,1.0,1989,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5B short, advanced vocational qualifications","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow some,8,Cultural life enriched,7,30.0,5.0,5.0,7.5,2.0,1.0,2.0,1.0,1.0,5.75,1.8333333333333333,-1.5,7.0,6.0,1,South Europe,-1,0,1
12481,ESS8e02_1,8,2.1,ES,1.0,1993,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 3 >=2 years, no access ISCED 5",Allow some,Allow some,4,3,4,26.0,6.0,6.5,3.5,1.0,1.0,-1.0,-1.0,-1.0,5.5,2.0,1.5,-1.0,5.0,0,South Europe,1,1,0
12483,ESS8e02_1,8,2.1,ES,1.0,1941,1.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,Don't know,7,4,78.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.8333333333333333,1.6666666666666667,2.5,2.0,1.0,1,South Europe,1,1,0
12485,ESS8e02_1,8,2.1,ES,0.0,1996,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,5,7,7,23.0,5.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.25,2.5,3.75,6.0,1.0,1,South Europe,1,1,0
12487,ESS8e02_1,8,2.1,ES,1.0,1996,1.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow many to come and live here,7,Cultural life enriched,5,23.0,4.0,2.5,4.75,2.0,2.0,1.0,1.0,0.0,3.5833333333333335,1.5,-0.125,6.0,4.0,1,South Europe,-1,0,1
12488,ESS8e02_1,8,2.1,ES,0.0,1950,1.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,9,6,69.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,1.0,1,South Europe,0,0,0
12489,ESS8e02_1,8,2.1,ES,1.0,1969,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,8,9,8,50.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.5,1.0,1.5,8.0,1.0,1,South Europe,1,1,0
12491,ESS8e02_1,8,2.1,ES,1.0,1979,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,8,9,40.0,2.0,2.5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.75,10.0,2.0,1,South Europe,1,1,0
12494,ESS8e02_1,8,2.1,ES,1.0,1954,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,3,3,4,65.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.1666666666666665,4.333333333333333,6.5,-5.0,1.0,0,South Europe,1,1,0
12497,ESS8e02_1,8,2.1,ES,1.0,1970,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow some,Allow many to come and live here,7,8,8,49.0,6.0,1.0,7.5,1.0,2.0,1.0,2.0,2.0,5.0,4.333333333333333,2.25,8.0,4.0,1,South Europe,1,1,0
12498,ESS8e02_1,8,2.1,ES,0.0,1970,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education",Allow a few,Allow a few,4,3,3,49.0,2.0,3.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.3333333333333335,1.6666666666666667,0.25,-5.0,2.0,0,South Europe,1,1,0
12499,ESS8e02_1,8,2.1,ES,0.0,1993,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","General ISCED 2A, access ISCED 3A general/all 3",Allow a few,Allow some,6,8,6,26.0,8.0,1.0,2.5,-1.0,1.0,1.0,2.0,1.0,3.6666666666666665,4.333333333333333,5.75,4.0,2.0,1,South Europe,1,1,0
12500,ESS8e02_1,8,2.1,ES,0.0,1969,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow a few,Allow some,3,6,5,50.0,4.0,2.5,1.0,-1.0,1.0,-1.0,1.0,0.0,2.5,2.0,2.25,0.0,2.0,0,South Europe,1,1,0
12502,ESS8e02_1,8,2.1,ES,1.0,1980,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,7,6,5,39.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.1666666666666665,4.333333333333333,6.5,4.0,1.0,1,South Europe,1,1,0
12504,ESS8e02_1,8,2.1,ES,0.0,1967,1.0,Yes,ISCED 4 programmes without access ISCED 5,"ISCED 1, completed primary education","ISCED 1, completed primary education",Don't know,Don't know,6,6,5,52.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1,South Europe,1,1,0
12505,ESS8e02_1,8,2.1,ES,1.0,1977,0.0,Yes,ISCED 4 programmes without access ISCED 5,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,Good for the economy,7,8,42.0,4.0,2.5,1.0,2.0,2.0,1.0,1.0,2.0,2.5,2.0,2.25,8.0,2.0,1,South Europe,1,1,0
12506,ESS8e02_1,8,2.1,ES,0.0,1979,0.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,9,8,8,40.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.8333333333333333,1.6666666666666667,2.5,10.0,1.0,1,South Europe,1,1,0
12507,ESS8e02_1,8,2.1,ES,0.0,1998,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 2A/2B, access ISCED 3 vocational",Allow a few,Allow a few,5,6,5,21.0,2.0,2.5,2.5,-1.0,-1.0,0.0,1.0,0.0,2.5,0.0,0.0,-1.0,2.0,0,South Europe,0,0,0
12508,ESS8e02_1,8,2.1,ES,0.0,1982,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 3 >=2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow none,Allow none,8,8,8,37.0,6.0,3.5,2.5,-2.0,-2.0,2.0,2.0,2.0,4.166666666666667,2.6666666666666665,3.5,2.0,3.0,1,South Europe,1,1,0
12510,ESS8e02_1,8,2.1,ES,1.0,1983,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow many to come and live here,5,Cultural life enriched,8,36.0,6.0,2.5,2.5,2.0,2.0,0.0,1.0,2.0,3.8333333333333335,2.6666666666666665,4.0,7.0,2.0,1,South Europe,1,1,0
12511,ESS8e02_1,8,2.1,ES,0.0,2001,1.0,Yes,"ISCED 1, completed primary education","General ISCED 3 >=2 years, no access ISCED 5","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow many to come and live here,9,9,9,18.0,1.0,3.5,2.5,2.0,2.0,2.0,2.0,2.0,2.3333333333333335,1.6666666666666667,-2.0,10.0,3.0,1,South Europe,-1,0,1
12514,ESS8e02_1,8,2.1,ES,0.0,1983,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow many to come and live here,7,7,7,36.0,8.0,2.5,2.5,2.0,2.0,1.0,1.0,1.0,4.166666666666667,3.3333333333333335,5.0,7.0,2.0,1,South Europe,1,1,0
12516,ESS8e02_1,8,2.1,ES,0.0,1976,0.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow some,Allow many to come and live here,7,9,8,43.0,6.0,2.5,1.0,1.0,2.0,1.0,2.0,2.0,3.3333333333333335,3.6666666666666665,4.75,8.0,2.0,1,South Europe,1,1,0
12518,ESS8e02_1,8,2.1,ES,1.0,1952,0.0,Yes,"Vocational ISCED 2A/2B, access ISCED 3 vocational","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow some,4,4,4,67.0,2.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.5,1.0,1.5,-3.0,1.0,0,South Europe,1,1,0
12520,ESS8e02_1,8,2.1,ES,0.0,1977,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,7,7,6,42.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8333333333333335,3.6666666666666665,5.5,5.0,1.0,1,South Europe,1,1,0
12523,ESS8e02_1,8,2.1,ES,1.0,1967,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,4,9,6,52.0,8.0,1.0,1.0,2.0,2.0,-1.0,2.0,1.0,3.1666666666666665,4.333333333333333,6.5,6.0,1.0,1,South Europe,1,1,0
12526,ESS8e02_1,8,2.1,ES,0.0,1948,1.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow some,7,6,6,71.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.8333333333333333,1.6666666666666667,2.5,6.0,1.0,1,South Europe,1,1,0
12530,ESS8e02_1,8,2.1,ES,0.0,1966,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,Cultural life enriched,8,53.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.5,1.0,1.5,9.0,1.0,1,South Europe,1,1,0
12533,ESS8e02_1,8,2.1,ES,0.0,1980,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 3 >=2 years, no access ISCED 5",Allow many to come and live here,Allow many to come and live here,5,8,5,39.0,4.0,2.5,3.5,2.0,2.0,0.0,2.0,0.0,3.3333333333333335,1.0,1.0,6.0,3.0,1,South Europe,1,1,0
12535,ESS8e02_1,8,2.1,ES,1.0,1952,1.0,Yes,"General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow a few,4,6,8,67.0,4.0,1.0,1.0,1.0,-1.0,-1.0,1.0,2.0,1.8333333333333333,1.6666666666666667,2.5,2.0,1.0,1,South Europe,1,1,0
12536,ESS8e02_1,8,2.1,ES,1.0,1933,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,5,5,5,86.0,8.0,6.5,1.0,2.0,2.0,0.0,0.0,0.0,5.0,4.333333333333333,3.75,4.0,4.0,1,South Europe,1,1,0
12537,ESS8e02_1,8,2.1,ES,0.0,1975,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,9,8,8,44.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.8333333333333335,3.6666666666666665,5.5,10.0,1.0,1,South Europe,1,1,0
12539,ESS8e02_1,8,2.1,ES,1.0,1971,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","General ISCED 3 >=2 years, no access ISCED 5","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,7,9,2,48.0,8.0,3.5,1.0,2.0,2.0,1.0,2.0,-2.0,4.0,4.333333333333333,5.25,5.0,2.0,1,South Europe,1,1,0
12540,ESS8e02_1,8,2.1,ES,0.0,1996,0.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 5A long, master/equivalent from upper/single tier tertiary",Allow many to come and live here,Allow many to come and live here,8,8,7,23.0,5.0,7.5,7.5,2.0,2.0,2.0,2.0,1.0,6.583333333333333,1.8333333333333333,-2.75,9.0,8.0,1,South Europe,-1,0,1
12542,ESS8e02_1,8,2.1,ES,0.0,1927,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,Good for the economy,Cultural life enriched,5,92.0,6.0,2.5,1.0,2.0,2.0,1.0,1.0,0.0,3.3333333333333335,3.6666666666666665,4.75,6.0,2.0,1,South Europe,1,1,0
12545,ESS8e02_1,8,2.1,ES,1.0,1978,1.0,Yes,"ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,5,2,5,41.0,6.0,1.0,1.0,1.0,1.0,0.0,-2.0,0.0,2.8333333333333335,3.6666666666666665,5.5,0.0,1.0,0,South Europe,1,1,0
12550,ESS8e02_1,8,2.1,ES,0.0,1946,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,4,6,5,73.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.5,1.0,1.5,-2.0,1.0,0,South Europe,1,1,0
12551,ESS8e02_1,8,2.1,ES,1.0,1981,1.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,Good for the economy,Cultural life enriched,Better place to live,38.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,5.0,1.0,1,South Europe,1,1,0
12552,ESS8e02_1,8,2.1,ES,1.0,1986,0.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,Bad for the economy,2,3,33.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-2.0,-1.0,1.0,0.0,0.0,-6.0,1.0,0,South Europe,0,0,0
12553,ESS8e02_1,8,2.1,ES,1.0,1956,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,8,5,63.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.1666666666666665,4.333333333333333,6.5,8.0,1.0,1,South Europe,1,1,0
12562,ESS8e02_1,8,2.1,ES,1.0,1956,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,8,8,8,63.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.1666666666666665,4.333333333333333,6.5,10.0,1.0,1,South Europe,1,1,0
12563,ESS8e02_1,8,2.1,ES,0.0,1979,1.0,Yes,"ISCED 5A long, master/equivalent from upper/single tier tertiary","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow some,Allow some,3,8,5,40.0,8.0,1.0,1.0,1.0,1.0,-1.0,2.0,0.0,3.1666666666666665,4.333333333333333,6.5,3.0,1.0,1,South Europe,1,1,0
12565,ESS8e02_1,8,2.1,ES,0.0,1997,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 3A, access upper tier ISCED 5A/all 5",Allow many to come and live here,Allow many to come and live here,8,7,7,22.0,2.0,2.5,4.75,2.0,2.0,2.0,1.0,1.0,3.25,1.5,-1.125,8.0,4.0,1,South Europe,-1,0,1
12566,ESS8e02_1,8,2.1,ES,1.0,1999,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","Vocational ISCED 2A/2B, access ISCED 3 vocational","General ISCED 2A, access ISCED 3A general/all 3",Allow none,Allow a few,3,6,3,20.0,2.0,2.5,2.5,-2.0,-1.0,-1.0,1.0,-1.0,2.5,0.0,0.0,-4.0,2.0,0,South Europe,0,0,0
12568,ESS8e02_1,8,2.1,ES,1.0,2000,0.0,Yes,"General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3","ISCED 5A medium, bachelor/equivalent from upper/single tier tertiary",Allow some,Allow some,5,4,5,19.0,2.0,2.5,6.5,1.0,1.0,0.0,-1.0,0.0,3.8333333333333335,2.6666666666666665,-2.0,1.0,4.0,1,South Europe,-1,0,1
12569,ESS8e02_1,8,2.1,ES,1.0,1975,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General ISCED 2A, access ISCED 3A general/all 3","ISCED 1, completed primary education",Allow many to come and live here,Allow many to come and live here,5,8,5,44.0,4.0,2.5,1.0,2.0,2.0,0.0,2.0,0.0,2.5,2.0,2.25,6.0,2.0,1,South Europe,1,1,0
12570,ESS8e02_1,8,2.1,ES,1.0,1997,1.0,Yes,"General ISCED 3A, access upper tier ISCED 5A/all 5","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow none,Allow none,5,6,5,22.0,5.0,1.0,1.0,-2.0,-2.0,0.0,1.0,0.0,2.25,2.5,3.75,-3.0,1.0,0,South Europe,1,1,0
12572,ESS8e02_1,8,2.1,ES,1.0,1963,1.0,Yes,"Vocational ISCED 3A, access ISCED 5B/ lower tier 5A","General ISCED 2A, access ISCED 3A general/all 3","General ISCED 2A, access ISCED 3A general/all 3",Allow many to come and live here,Allow many to come and live here,9,9,7,56.0,4.0,2.5,2.5,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.5,9.0,2.0,1,South Europe,1,1,0
12578,ESS8e02_1,8,2.1,ES,0.0,1954,1.0,Yes,"ISCED 1, completed primary education","ISCED 1, completed primary education","ISCED 1, completed primary education",Allow a few,Allow a few,3,3,3,65.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-5.0,1.0,0,South Europe,0,0,0
